Timestamp,Therapist joint angle 0,Therapist joint angle 1,Therapist joint angle 2,Patient joint angle 0,Patient joint angle 1,Patient joint angle 2,Therapist position x,Therapist position y,Therapist position z,Patient position x,Patient position y,Patient position z,Virtual position x, Patient Constant Force, Recovery Factor, Assistance Level
6.38217E+17,-35.05722,25.62251,17.25363,-30.95779,19.89485,15.50258,-91.78165,-46.33353,-37.55043,-82.83669,-59.77017,-30.25625,0.001067912,0.05536329,0.7499583,0.05536329
6.38217E+17,-35.05722,25.62251,17.23028,-30.34523,19.7312,15.38585,-91.75185,-46.34963,-37.59291,-81.28851,-60.20085,-29.49314,0.001067912,0.05917398,0.7528726,0.05917398
6.38217E+17,-35.05722,25.62251,17.23028,-29.92115,19.68445,15.38585,-91.75185,-46.34963,-37.59291,-80.27684,-60.30329,-28.86347,0.001067912,0.06165575,0.7541696,0.06165575
6.38217E+17,-35.05722,25.62251,17.23028,-29.21435,19.63769,15.4092,-91.75185,-46.34963,-37.59291,-78.59351,-60.39134,-27.80614,0.001067912,0.065717,0.7564816,0.065717
6.38217E+17,-35.05722,25.57575,17.23028,-28.76671,19.63769,15.47924,-91.77885,-46.44777,-37.55443,-77.5687,-60.34793,-27.05866,0.001067912,0.06785423,0.7585148,0.06785423
6.38217E+17,-35.05722,25.55238,17.25363,-28.64891,19.63769,15.73606,-91.82215,-46.48075,-37.49273,-77.55405,-60.18711,-26.39428,0.001067912,0.06794319,0.7603965,0.06794319
6.38217E+17,-35.05722,25.55238,17.25363,-28.67247,19.63769,15.87614,-91.82215,-46.48075,-37.49273,-77.76293,-60.09831,-26.15095,0.001067912,0.06749386,0.7613115,0.06749386
6.38217E+17,-35.05722,25.529,17.23028,-28.67247,19.5208,15.99288,-91.80582,-46.54595,-37.51601,-77.93202,-60.28004,-25.84174,0.001067912,0.06736612,0.76307,0.06736612
6.38217E+17,-35.05722,25.529,16.99681,-28.67247,19.1935,16.01623,-91.50751,-46.70585,-37.94111,-78.07823,-60.98374,-25.57439,0.001067912,0.0681676,0.7646987,0.0681676
6.38217E+17,-35.05722,25.529,16.83338,-28.67247,18.7727,16.01623,-91.29849,-46.81652,-38.239,-78.23109,-61.90986,-25.29487,0.001067912,0.06954286,0.7661757,0.06954286
6.38217E+17,-35.05722,25.529,16.83338,-28.67247,18.63243,16.22635,-91.29849,-46.81652,-38.239,-78.50673,-62.08329,-24.79082,0.001067912,0.07003526,0.7668641,0.07003526
6.38217E+17,-35.05722,25.55238,16.83338,-28.74315,18.58567,16.88007,-91.28501,-46.76743,-38.25821,-79.40179,-61.75295,-23.57862,0.001067912,0.06986173,0.768185,0.06986173
6.38217E+17,-35.05722,25.55238,16.83338,-29.02587,18.58567,17.72057,-91.28501,-46.76743,-38.25821,-81.02138,-61.17123,-22.3391,0.001067912,0.06856456,0.7694881,0.06856456
6.38217E+17,-35.05722,25.55238,16.71664,-29.16723,18.58567,18.14083,-91.1356,-46.84584,-38.47114,-81.83489,-60.87011,-21.72685,0.001067912,0.06821188,0.7701302,0.06821188
6.38217E+17,-35.05722,25.529,16.62325,-29.23791,18.63243,18.42099,-91.02947,-46.95728,-38.62238,-82.30116,-60.56244,-21.31794,0.001067912,0.06767001,0.771382,0.06767001
